Timestamp,Age ,Gender,Municipality in which you visit parks or squares: (circle all that apply),How often have you visited parks or squares in 2019 during the day?,"Regarding the parks or squares that you have visited in 2019, did you visit parks or squares more frequently during the day before the corona virus outbreak?",How much time do you usually spend in parks or squares since the corona virus outbreak in Serbia?,"When you are in parks or squares, what do you usually do (circle all that apply)?",When visiting parks or squares you are often (circle all that apply):,"While using parks or squares, do you behave according to social distancing regulations standing a minimum of 2.0 meters apart from other people?",Would you feel physically safe if there was monitoring of park or square usage that you could access through your phone?,Would you feelsafe regarding the corona virus if there was monitoring of park or square usage that you could access through your phone?,Would you be interested in technology that would allow you to know how many people are in a specific place you would like to go?,"If your identity was not revealed, would you want to provide your phone’s location (see question 10)?"
,41-64,Male,"Novi Beograd, Zemun","Sometimes, a couple of times per month",More frequently,From 15 to 30 minutes,Sitting and relaxing,With partner or friend (two adults),Yes,No,Yes,Yes,"Yes, at all time"
,41-64,Male,Zvezdara,"Always, almost every day",More frequently,From 30 minutes to one hour,"Spending time with friends, Walking the dog",With a small group of friends (up to 5 persons),Yes,Yes,Yes,Yes,"No, not at all"
,41-64,Female,"Vračar, Palilula, Stari grad","Sometimes, a couple of times per month",Less frequently,From 30 minutes to one hour,"Physical activity, Physical activity, Physical activity, Sitting and relaxing, Physical activity",With partner or friend (two adults),Yes,No,Yes,Yes,"Yes, while using the app"
,41-64,Male,"Novi Beograd, Zemun","Sometimes, a couple of times per month",More frequently,Up to 15 minutes,Sitting and relaxing,Alone or with pets,No,Yes,Yes,No,"No, not at all"
,41-64,Female,Stari grad,"Often, a couple of times per week",More frequently,From 15 to 30 minutes,"Spending time with friends, Walking the dog",With a small group of friends (up to 5 persons),Yes,Yes,Yes,Yes,"Yes, at all time"
,41-64,Male,"Vračar, Palilula, Stari grad","Sometimes, a couple of times per month",More frequently,More than one hour,Sitting and relaxing,Alone or with pets,Yes,No,No,No,"No, not at all"
,25-40,Female,Stari grad,"Sometimes, a couple of times per month",More frequently,From 30 minutes to one hour,Sitting and relaxing,Alone or with pets,Yes,Yes,Yes,Yes,"No, not at all"
,15-24,Male,Zvezdara,"Rarely, a couple of times per year",Less frequently,Up to 15 minutes,Sitting and relaxing,With partner or friend (two adults),Yes,No,Yes,Yes,"Yes, at all time"
,25-40,Male,"Vračar, Palilula, Stari grad","Sometimes, a couple of times per month",Less frequently,Up to 15 minutes,"Physical activity, Physical activity, Physical activity, Sitting and relaxing, Physical activity",Alone or with pets,No,Yes,Yes,Yes,"Yes, at all time"
,41-64,Female,"Palilula, Savski venac","Always, almost every day",More frequently,From 30 minutes to one hour,Walking the dog,"Alone or with pets, With partner or friend (two adults)",Yes,Yes,Yes,Yes,"Yes, while using the app"
,41-64,Male,"Palilula, Stari grad","Always, almost every day",More frequently,From 30 minutes to one hour,Walking the dog,"Alone or with pets, With partner or friend (two adults)",Yes,Yes,Yes,Yes,"Yes, while using the app"
,41-64,Female,Novi Beograd,"Rarely, a couple of times per year",Not at all,From 30 minutes to one hour,Walking the dog,"Alone or with pets, With partner or friend (two adults)",,No,No,Yes,"No, not at all"
,41-64,Male,Palilula,"Rarely, a couple of times per year",Not at all,From 30 minutes to one hour,Walking the dog,"Alone or with pets, With partner or friend (two adults)",,Yes,No,Yes,"Yes, while using the app"
,41-64,Female,"Novi Beograd, Zemun","Rarely, a couple of times per year",Less frequently,Up to 15 minutes,"Physical activity, Physical activity, Physical activity",With a small group of friends (up to 5 persons),Yes,Yes,Yes,Yes,"Yes, at all time"
,41-64,Female,"Novi Beograd, Zemun","Rarely, a couple of times per year",As frequently,From 30 minutes to one hour,Walking the dog,"Alone or with pets, With partner or friend (two adults)",Yes,No,Yes,Yes,"Yes, at all time"
,41-64,Female,Palilula,"Sometimes, a couple of times per month",Less frequently,Up to 15 minutes,"Physical activity, Physical activity, Physical activity",With partner or friend (two adults),Yes,Yes,Yes,Yes,"Yes, at all time"
,41-64,Female,Palilula,"Rarely, a couple of times per year",Less frequently,Up to 15 minutes,"Physical activity, Physical activity, Physical activity",With a small group of friends (up to 5 persons),Yes,Yes,Yes,Yes,"Yes, at all time"
,41-64,Female,"Palilula, Zemun, Zvezdara, Obrenovac","Sometimes, a couple of times per month",Less frequently,From 15 to 30 minutes,"Physical activity, Physical activity, Physical activity",With partner or friend (two adults),Yes,Yes,Yes,Yes,"Yes, while using the app"
,15-24,Male,Zvezdara,"Rarely, a couple of times per year",Less frequently,Up to 15 minutes,Sitting and relaxing,With a small group of friends (up to 5 persons),Yes,No,Yes,No,"Yes, at all time"
,41-64,Female,Palilula,"Sometimes, a couple of times per month",Less frequently,Up to 15 minutes,"Physical activity, Physical activity, Physical activity",With a small group of friends (up to 5 persons),Yes,Yes,No,Yes,"Yes, at all time"
,41-64,Female,Vračar,"Always, almost every day",More frequently,Up to 15 minutes,Walking the dog,Alone or with pets,Yes,Yes,Yes,Yes,"Yes, while using the app"
,41-64,Female,Zvezdara,"Rarely, a couple of times per year",Not at all,From 30 minutes to one hour,Sitting and relaxing,Alone or with pets,Yes,Yes,Yes,Yes,"Yes, at all time"
,15-24,Male,Zvezdara,"Sometimes, a couple of times per month",Less frequently,Up to 15 minutes,Sitting and relaxing,With a small group of friends (up to 5 persons),Yes,No,Yes,Yes,"Yes, at all time"
,15-24,Female,Vračar,"Rarely, a couple of times per year",More frequently,From 30 minutes to one hour,"Spending time with friends, Walking the dog",With partner or friend (two adults),Yes,No,Yes,No,"No, not at all"
,15-24,Female,Vračar,"Always, almost every day",Not at all,Up to 15 minutes,Walking the dog,Alone or with pets,Yes,No,Yes,Yes,"Yes, at all time"
,15-24,Female,Stari grad,"Sometimes, a couple of times per month",Less frequently,From 30 minutes to one hour,"Physical activity, Physical activity, Physical activity",With a small group of friends (up to 5 persons),Yes,No,Yes,Yes,"Yes, while using the app"
,15-24,Female,Zvezdara,"Sometimes, a couple of times per month",As frequently,From 30 minutes to one hour,Sitting and relaxing,Alone or with pets,Yes,Yes,Yes,Yes,"Yes, at all time"
,15-24,Female,Vračar,"Always, almost every day",As frequently,More than one hour,Sitting and relaxing,With a small group of friends (up to 5 persons),Yes,Yes,No,Yes,"Yes, at all time"
,15-24,Female,Vračar,"Sometimes, a couple of times per month",More frequently,From 30 minutes to one hour,Sitting and relaxing,With partner or friend (two adults),Yes,Yes,No,No,"No, not at all"
,15-24,Male,Stari grad,"Rarely, a couple of times per year",Less frequently,Up to 15 minutes,Walking the dog,Alone or with pets,Yes,Yes,Yes,Yes,"Yes, while using the app"
,15-24,Female,Zvezdara,"Sometimes, a couple of times per month",More frequently,More than one hour,"Physical activity, Physical activity, Physical activity",With a small group of friends (up to 5 persons),Yes,Yes,No,No,"No, not at all"
,15-24,Female,"Novi Beograd, Zemun","Rarely, a couple of times per year",Not at all,From 30 minutes to one hour,"Spending time with friends, Walking the dog",With a small group of friends (up to 5 persons),Yes,Yes,Yes,No,"Yes, while using the app"
,41-64,Female,"Novi Beograd, Zemun","Always, almost every day",More frequently,From 30 minutes to one hour,Sitting and relaxing,Alone or with pets,Yes,Yes,No,Yes,"Yes, at all time"
,41-64,Male,Zvezdara,"Sometimes, a couple of times per month",Less frequently,Up to 15 minutes,Walking the dog,Alone or with pets,Yes,Yes,Yes,Yes,"No, not at all"
,41-64,Male,Zvezdara,"Rarely, a couple of times per year",As frequently,More than one hour,Sitting and relaxing,With partner or friend (two adults),Yes,Yes,Yes,Yes,"Yes, while using the app"
,41-64,Female,"Novi Beograd, Zemun","Rarely, a couple of times per year",As frequently,Up to 15 minutes,"Physical activity, Physical activity, Physical activity",With a small group of friends (up to 5 persons),Yes,Yes,No,No,"No, not at all"
,41-64,Male,"Novi Beograd, Zemun","Rarely, a couple of times per year",Not at all,Up to 15 minutes,Sitting and relaxing,With a small group of friends (up to 5 persons),Yes,Yes,No,No,"No, not at all"
,41-64,Female,Vračar,"Sometimes, a couple of times per month",More frequently,From 30 minutes to one hour,Walking the dog,Alone or with pets,Yes,Yes,No,Yes,"Yes, at all time"
,41-64,Female,"Novi Beograd, Zemun","Always, almost every day",More frequently,More than one hour,"Physical activity, Physical activity, Physical activity",Alone or with pets,No,No,Yes,Yes,"Yes, while using the app"
,41-64,Male,Stari grad,"Rarely, a couple of times per year",Less frequently,Up to 15 minutes,Sitting and relaxing,Alone or with pets,No,No,Yes,Yes,"Yes, while using the app"
,41-64,Female,"Novi Beograd, Zemun","Always, almost every day",As frequently,Up to 15 minutes,Sitting and relaxing,With a small group of friends (up to 5 persons),No,No,Yes,Yes,"Yes, while using the app"
,41-64,Female,"Novi Beograd, Zemun","Always, almost every day",As frequently,From 30 minutes to one hour,Walking the dog,With partner or friend (two adults),Yes,Yes,Yes,Yes,"Yes, at all time"
,41-64,Female,"Novi Beograd, Zemun","Sometimes, a couple of times per month",More frequently,From 30 minutes to one hour,"Physical activity, Physical activity, Physical activity",Alone or with pets,Yes,Yes,No,No,"No, not at all"
,41-64,Male,Palilula,"Always, almost every day",More frequently,More than one hour,Sitting and relaxing,Alone or with pets,Yes,Yes,Yes,Yes,"Yes, while using the app"
,41-64,Male,Vračar,"Rarely, a couple of times per year",Not at all,Up to 15 minutes,Walking the dog,With a small group of friends (up to 5 persons),Yes,Yes,Yes,Yes,"Yes, at all time"
,41-64,Female,"Novi Beograd, Zemun","Rarely, a couple of times per year",Less frequently,Up to 15 minutes,"Spending time with friends, Walking the dog",With a small group of friends (up to 5 persons),Yes,Yes,Yes,Yes,"Yes, at all time"
,41-64,Female,Vračar,"Rarely, a couple of times per year",Less frequently,More than one hour,Walking the dog,With partner or friend (two adults),No,No,No,No,"Yes, while using the app"
,41-64,Male,Palilula,"Sometimes, a couple of times per month",More frequently,From 30 minutes to one hour,Walking the dog,Alone or with pets,Yes,Yes,Yes,Yes,"Yes, at all time"
,41-64,Male,Vračar,"Always, almost every day",More frequently,More than one hour,"Physical activity, Physical activity, Physical activity",Alone or with pets,Yes,Yes,Yes,Yes,"Yes, while using the app"
,41-64,Female,"Novi Beograd, Zemun","Sometimes, a couple of times per month",As frequently,From 30 minutes to one hour,Sitting and relaxing,With a small group of friends (up to 5 persons),Yes,No,Yes,Yes,"Yes, at all time"
,41-64,Male,Stari grad,"Sometimes, a couple of times per month",Not at all,Up to 15 minutes,Sitting and relaxing,With a small group of friends (up to 5 persons),No,No,No,Yes,"Yes, while using the app"
,41-64,Female,Palilula,"Rarely, a couple of times per year",As frequently,From 30 minutes to one hour,"Physical activity, Physical activity, Physical activity",Alone or with pets,No,No,Yes,No,"Yes, while using the app"
,41-64,Female,"Novi Beograd, Zemun","Rarely, a couple of times per year",Less frequently,Up to 15 minutes,Walking the dog,Alone or with pets,No,No,Yes,No,"No, not at all"
,41-64,Female,"Novi Beograd, Zemun","Sometimes, a couple of times per month",As frequently,From 30 minutes to one hour,Sitting and relaxing,With partner or friend (two adults),Yes,Yes,Yes,Yes,"Yes, at all time"
,41-64,Male,Palilula,"Always, almost every day",As frequently,Up to 15 minutes,"Physical activity, Physical activity, Physical activity",With partner or friend (two adults),Yes,Yes,Yes,Yes,"Yes, while using the app"
,41-64,Female,"Novi Beograd, Zemun","Sometimes, a couple of times per month",Less frequently,Up to 15 minutes,"Physical activity, Physical activity, Physical activity",Alone or with pets,Yes,No,Yes,Yes,"Yes, while using the app"
,41-64,Male,Palilula,"Rarely, a couple of times per year",Not at all,Up to 15 minutes,Walking the dog,With a small group of friends (up to 5 persons),Yes,Yes,Yes,Yes,"Yes, at all time"
,41-64,Female,Stari grad,"Sometimes, a couple of times per month",As frequently,From 30 minutes to one hour,"Physical activity, Physical activity, Physical activity",With partner or friend (two adults),Yes,Yes,Yes,Yes,"No, not at all"
,25-40,Female,"Novi Beograd, Zemun","Sometimes, a couple of times per month",Less frequently,Up to 15 minutes,Sitting and relaxing,Alone or with pets,No,Yes,No,Yes,"Yes, at all time"
,25-40,Female,"Novi Beograd, Zemun","Always, almost every day",More frequently,From 30 minutes to one hour,Sitting and relaxing,With a small group of friends (up to 5 persons),No,Yes,Yes,Yes,"Yes, while using the app"
,25-40,Male,"Novi Beograd, Zemun","Sometimes, a couple of times per month",As frequently,More than one hour,"Spending time with friends, Walking the dog",Alone or with pets,No,Yes,No,No,"Yes, while using the app"
,25-40,Female,"Novi Beograd, Zemun","Sometimes, a couple of times per month",More frequently,Up to 15 minutes,Sitting and relaxing,Alone or with pets,No,No,Yes,Yes,"Yes, while using the app"
,25-40,Female,Zvezdara,"Rarely, a couple of times per year",Less frequently,Up to 15 minutes,"Physical activity, Physical activity, Physical activity",With a small group of friends (up to 5 persons),Yes,No,No,No,"Yes, at all time"
,25-40,Female,Zvezdara,"Sometimes, a couple of times per month",As frequently,Up to 15 minutes,Walking the dog,Alone or with pets,Yes,No,Yes,Yes,"Yes, at all time"
,25-40,Male,"Novi Beograd, Zemun","Always, almost every day",More frequently,More than one hour,Sitting and relaxing,With a small group of friends (up to 5 persons),Yes,Yes,Yes,Yes,"Yes, while using the app"
,25-40,Male,Stari grad,"Sometimes, a couple of times per month",As frequently,More than one hour,Sitting and relaxing,Alone or with pets,Yes,Yes,No,Yes,"Yes, while using the app"
,25-40,Female,Zvezdara,"Rarely, a couple of times per year",Less frequently,From 30 minutes to one hour,"Physical activity, Physical activity, Physical activity",Alone or with pets,Yes,Yes,Yes,Yes,"Yes, at all time"
,25-40,Female,"Novi Beograd, Zemun","Sometimes, a couple of times per month",As frequently,Up to 15 minutes,Sitting and relaxing,With a small group of friends (up to 5 persons),No,Yes,No,No,"No, not at all"
,25-40,Male,"Novi Beograd, Zemun","Always, almost every day",As frequently,From 30 minutes to one hour,Walking the dog,With a small group of friends (up to 5 persons),Yes,Yes,Yes,Yes,"Yes, while using the app"
,25-40,Female,"Novi Beograd, Zemun","Sometimes, a couple of times per month",As frequently,More than one hour,"Physical activity, Physical activity, Physical activity",With a small group of friends (up to 5 persons),Yes,No,No,No,"No, not at all"
,25-40,Female,"Novi Beograd, Zemun","Sometimes, a couple of times per month",As frequently,From 30 minutes to one hour,Sitting and relaxing,With a small group of friends (up to 5 persons),Yes,Yes,Yes,Yes,"Yes, at all time"
,25-40,Male,Stari grad,"Always, almost every day",Less frequently,Up to 15 minutes,Sitting and relaxing,With partner or friend (two adults),No,Yes,Yes,Yes,"Yes, at all time"
,25-40,Female,Zvezdara,"Always, almost every day",More frequently,More than one hour,Sitting and relaxing,Alone or with pets,No,Yes,Yes,Yes,"No, not at all"
,25-40,Male,"Novi Beograd, Zemun","Sometimes, a couple of times per month",As frequently,More than one hour,Sitting and relaxing,With partner or friend (two adults),No,Yes,No,No,"No, not at all"
,25-40,Female,"Novi Beograd, Zemun","Sometimes, a couple of times per month",Less frequently,From 30 minutes to one hour,Sitting and relaxing,With partner or friend (two adults),Yes,Yes,No,Yes,"Yes, at all time"
,25-40,Female,Palilula,"Always, almost every day",As frequently,From 30 minutes to one hour,Sitting and relaxing,With a small group of friends (up to 5 persons),Yes,No,Yes,Yes,"No, not at all"
,25-40,Female,Palilula,"Sometimes, a couple of times per month",As frequently,More than one hour,"Physical activity, Physical activity, Physical activity",With a small group of friends (up to 5 persons),No,Yes,Yes,Yes,"Yes, at all time"
,25-40,Male,Zvezdara,"Always, almost every day",More frequently,More than one hour,Sitting and relaxing,With partner or friend (two adults),Yes,No,Yes,Yes,"No, not at all"
,25-40,Male,Stari grad,"Rarely, a couple of times per year",Less frequently,Up to 15 minutes,Walking the dog,Alone or with pets,Yes,No,Yes,Yes,"Yes, at all time"
,25-40,Female,"Novi Beograd, Zemun","Sometimes, a couple of times per month",As frequently,From 30 minutes to one hour,Sitting and relaxing,With a small group of friends (up to 5 persons),Yes,Yes,Yes,Yes,"Yes, at all time"
,25-40,Male,Stari grad,"Always, almost every day",Less frequently,Up to 15 minutes,Sitting and relaxing,With partner or friend (two adults),No,Yes,Yes,Yes,"Yes, at all time"
,25-40,Female,Zvezdara,"Always, almost every day",More frequently,More than one hour,"Physical activity, Physical activity, Physical activity",Alone or with pets,No,Yes,No,Yes,"Yes, while using the app"
,25-40,Male,"Novi Beograd, Zemun","Sometimes, a couple of times per month",As frequently,More than one hour,Sitting and relaxing,With partner or friend (two adults),No,Yes,Yes,No,"No, not at all"
,25-40,Female,"Novi Beograd, Zemun","Sometimes, a couple of times per month",Less frequently,From 30 minutes to one hour,Walking the dog,With partner or friend (two adults),Yes,Yes,Yes,Yes,"Yes, at all time"
,25-40,Female,Palilula,"Always, almost every day",As frequently,From 30 minutes to one hour,Sitting and relaxing,With a small group of friends (up to 5 persons),No,No,No,No,"No, not at all"
,25-40,Female,Palilula,"Sometimes, a couple of times per month",As frequently,More than one hour,"Physical activity, Physical activity, Physical activity",With a small group of friends (up to 5 persons),No,Yes,Yes,Yes,"Yes, at all time"
,25-40,Female,Zvezdara,"Always, almost every day",More frequently,More than one hour,Sitting and relaxing,With partner or friend (two adults),Yes,No,Yes,No,"No, not at all"
,25-40,Female,Novi Beograd,"Rarely, a couple of times per year",Less frequently,Up to 15 minutes,Walking the dog,Alone or with pets,Yes,Yes,No,No,"No, not at all"
,41-64,Female,Palilula,"Always, almost every day",More frequently,More than one hour,"Physical activity, Physical activity, Physical activity",Alone or with pets,Yes,Yes,Yes,Yes,"Yes, while using the app"
,41-64,Male,Novi Beograd,"Rarely, a couple of times per year",Not at all,Up to 15 minutes,Walking the dog,With a small group of friends (up to 5 persons),Yes,Yes,Yes,Yes,"Yes, at all time"
,41-64,Female,"Novi Beograd, Zemun","Sometimes, a couple of times per month",Less frequently,Up to 15 minutes,"Spending time with friends, Walking the dog",With a small group of friends (up to 5 persons),Yes,Yes,Yes,No,"No, not at all"
,41-64,Female,Vračar,"Rarely, a couple of times per year",Less frequently,More than one hour,Walking the dog,With partner or friend (two adults),No,No,No,No,"Yes, while using the app"
,41-64,Female,Palilula,"Sometimes, a couple of times per month",More frequently,From 30 minutes to one hour,"Physical activity, Physical activity, Physical activity",Alone or with pets,No,Yes,Yes,Yes,"Yes, at all time"
,41-64,Male,Vračar,"Sometimes, a couple of times per month",More frequently,More than one hour,"Physical activity, Physical activity, Physical activity",Alone or with pets,Yes,Yes,Yes,Yes,"Yes, while using the app"
,41-64,Male,"Novi Beograd, Zemun","Sometimes, a couple of times per month",As frequently,From 30 minutes to one hour,Sitting and relaxing,With a small group of friends (up to 5 persons),Yes,No,Yes,Yes,"Yes, at all time"
,41-64,Female,Stari grad,"Sometimes, a couple of times per month",Not at all,Up to 15 minutes,"Physical activity, Physical activity, Physical activity",With a small group of friends (up to 5 persons),No,No,No,Yes,"Yes, while using the app"
,15-24,Female,Vračar,"Always, almost every day",As frequently,From 30 minutes to one hour,Sitting and relaxing,With partner or friend (two adults),Yes,Yes,Yes,Yes,"Yes, while using the app"
,15-24,Female,Vračar,"Always, almost every day",As frequently,From 30 minutes to one hour,"Spending time with friends, Walking the dog",With partner or friend (two adults),Yes,Yes,Yes,Yes,"Yes, while using the app"
,15-24,Female,Vračar,"Always, almost every day",More frequently,From 30 minutes to one hour,"Physical activity, Physical activity, Physical activity",With a small group of friends (up to 5 persons),Yes,No,Yes,Yes,"Yes, while using the app"
,15-24,Male,Vračar,"Sometimes, a couple of times per month",As frequently,Up to 15 minutes,Sitting and relaxing,With a small group of friends (up to 5 persons),Yes,Yes,Yes,Yes,"Yes, while using the app"
